"ID"	"EUPHEMISM"	"MEANING_IN_CHINESE"	"FIGURATIVE_TYPE"	"EXAMPLE"
"DD-0001"	"安息"	"死 [多用于死者的悼慰]"	"Metaphor"	"他已经安息了。(GC 2015)"
"DD-0002"	"安眠"	"死亡"	"Metaphor"	"她终于静静地安眠，在他常常去散步的那个地方。(Zhu 2018, p. 2)"
"DD-0003"	"安卧"	"人死亡，遗体停放或安葬（在某地）"	"Metaphor"	"一位为人类健康而辛勤耕耘的医学一级教授再走完了93年人生历程后，静静地安卧在鲜花丛中。(Zhu 2018, p. 2)"
"DD-0004"	"百年"	"死亡"	"Reversal"	"这么着罗二爷才硬要谢老爷迁坟，好让他自己百年之后葬到那个正穴里。 (HDC 2010)"
"DD-0005"	"百岁"	"很多年以后，婉言人死亡"	"Reversal"	"现在还有我在管他，等我百岁之后该怎么办啊！(BCC)"
"DD-0006"	"半截入土"	"人年老或多病，不久就会死亡"	"Metonymy"	"姑奶奶，官儿要按年资递进的，你要嫁人说不定一二品里还可以拣出两个鳏夫来呢，只是齿牙摇落，须发斑白，都已半截入土了 。(BCC)"
"DD-0007"	"暴崩"	"指天子或皇家其他极尊贵人物突然去世"	"Metaphor"	"《三国演义：第四回》：“永乐太后暴崩，众论惑焉。”"
"DD-0008"	"暴卒"	"得急病突然死亡, 突然去世"	"Metaphor"	"而在1960年的罗马奥运会上，荷兰自行车运动员詹森暴卒于竞赛途中，尸体检验发现，他在赛前服用了安非他明和尼古丁酒石酸盐。(BCC)"
"DD-0009"	"背"	"死亡"	"Metaphor"	"清 · 孙枝蔚《忆昔篇寄示燕穀仪三子》诗：“八岁背吾母，出入哭声哑。” "
"DD-0010"	"背弃"	"死亡"	"Metaphor"	"明 · 高明 《琵琶记·散发归林》： “我闻説你父母背弃，你媳妇来此相寻，此事果否？”"
"DD-0011"	"背世"	"死亡"	"Metaphor"	"《宋书：后妃传：孝懿萧皇后》： “孝皇背世五十餘年，古不祔葬。”"
"DD-0012"	"崩"	"死亡"	"Metaphor"	"皇后生胤礽时难产而崩，所以胤礽从落地就没有母亲。(Zhang 1996, p. 2)"
"DD-0013"	"毕命"	"死亡"	"Metaphor"	"当场毕命。(GF 2014)"
"DD-0014"	"弊仆"	"死亡"	"Metonymy"	"三国 · 魏 · 文钦 《降吴表》 ： “钦累世受魏恩，乌鸟之情，窃怀愤踊，在三之义，期于弊仆。”"
"DD-0015"	"闭眼"	"死亡"	"Metonymy"	"没等生病的父亲闭眼，几个兄弟就已开始争遗产。(GC 2015)"
"DD-0016"	"宾空"	"死亡"	"Metaphor"	"宋 · 岳珂 《桯史：献陵疏文》： “仙驭宾空，载严遐荐，法筵撤席，更罄馀哀。”"
"DD-0017"	"宾天"	"死亡"	"Metaphor"	"《红楼梦．第六三回》：“忽见东府中几个人慌慌张张跑来说：『老爷宾天了。』众人听了，吓了一大跳。”"
"DD-0018"	"兵解"	"死亡"	"Metaphor"	"我听说天狐修炼必须要经过兵解，才能脱体飞升，若是经由雷火天劫，就会形神俱灭了。[https://809802.com/wuxia/gulong/yywd/195.htm]"
"DD-0019"	"病逝"	"死亡"	"Metaphor"	"祖父不幸病逝。(GF 2014)"
"DD-0020"	"波臣"	"被水淹死的人"	"Metonymy"	"清 · 汪中 《哀盐船文》： “亦有没者善游，操舟若神，死丧之威，从井有仁，旋入雷渊，并为波臣。”"
"DD-0021"	"不测"	"死亡等意外的伤害事故"	"Metonymy"	"《镜花缘：第十五回》： “倘老夫别有不测，贤契俯念师生之情，提携孤儿弱女，同归故乡，不致飘流海外，就是贤契莫大之德了。”"
